text,intent
How do I check my registered courses?,course_registration
What is the add/drop period?,course_registration
Can I switch to a different track?,course_registration
How do I register for an elective?,course_registration
How is the final grade calculated?,grading_system
What is the passing grade?,grading_system
How much is the project worth in the final grade?,grading_system
Is attendance part of the grade?,grading_system
What is the grading scale?,grading_system
How are assignments graded?,grading_system
Can I see my grades online?,grading_system
Is there a curve on the exam grades?,grading_system
How do I appeal a grade?,grading_system
What percentage is the final exam worth?,grading_system
What time does the library open?,library_hours
Is the library open on weekends?,library_hours
What are the library hours?,library_hours
Can I borrow books from the library?,library_hours
How long can I keep a borrowed book?,library_hours
Is there a digital library available?,library_hours
Does the library have study rooms?,library_hours
What time does the library close?,library_hours
I can't access the online platform,technical_support
The website is not loading,technical_support
I forgot my password,technical_support
How do I reset my account password?,technical_support
The video lecture is not playing,technical_support
I'm getting an error when I submit my assignment,technical_support
My account is locked,technical_support
I can't log into the portal,technical_support
Can you help me with something?,general_help
I have a question,general_help
I need some assistance,general_help
Can you explain something to me?,general_help
I don't understand this topic,general_help
Can you help me study?,general_help
I'm confused about something,general_help
What can you help me with?,general_help
Can you give me some advice?,general_help
I need help understanding a concept,general_help
